Column1,Brand,Product Code,Product Specification,Price,Inward Date,Dispatch Date,Quantity Sold,Customer Name,Customer Location,Region,Core Specification,Processor Specification,RAM,ROM,SSD
Laptop,Sony,A482C148,Bit happy sign establish age close decide national history of.,11566,14-10-2023,28-11-2023,5,Kaitlyn Ross,Gomezstad,South,Ryzen 3,Ryzen 3,8GB,128GB,256GB
Mobile Phone,Apple,91A4622A,Between situation American drug that agree own today.,161223,15-01-2024,08-02-2024,1,Joyce Lester,West Krystal,North,N/A,Snapdragon 7s,16GB,512GB,N/A
Laptop,Motorola,178C9C47,Into culture know drop near improve couple film.,89905,30-07-2023,22-08-2023,10,Zachary Hubbard,Josestad,Central,Ryzen 5,Ryzen 5,6GB,128GB,512GB
Mobile Phone,Vivo,DD1034C0,Space evidence learn discover late nor trial building field.,89993,27-10-2024,30-10-2024,9,Robert Jacobs,Port Melissa,West,N/A,Snapdragon 8 Gen,12GB,64GB,N/A
Laptop,iQOO,ED3F3605,Fine woman election show voice hair meeting nearly enter character.,66492,05-01-2025,10-02-2025,7,Carolyn Brown,Lake Robin,South,Ryzen 5,Ryzen 5,6GB,512GB,512GB
Mobile Phone,Vivo,89FCDF72,Station reduce develop remember speech until occur protect understand.,173417,05-02-2024,30-03-2024,3,Shelby Tucker,Vaughnside,Central,N/A,MediaTek Helio,4GB,512GB,N/A
Mobile Phone,Apple,EB50664F,Picture start style per ago most top generation middle half billion star.,112944,01-03-2024,12-03-2024,7,Zachary Garcia,Port Loganside,East,N/A,Snapdragon 7s,16GB,64GB,N/A
Mobile Phone,Asus,2ECB1801,Writer owner receive prevent market trade kind plan join turn reality.,168554,05-05-2024,05-06-2024,2,Sandy Green,Nolanmouth,West,N/A,Snapdragon 7s,6GB,512GB,N/A
Mobile Phone,Acer,2D240CB7,Final water almost administration administration market save consider man figure raise.,151154,05-02-2025,24-03-2025,9,Brandon Jones,Cruzfurt,West,N/A,Snapdragon 7s,12GB,256GB,N/A
Mobile Phone,HP,31EE253E,Which hope condition control yeah do discuss.,128136,23-05-2024,17-06-2024,5,Karen Hayes,New Angela,Central,N/A,MediaTek Helio,16GB,64GB,N/A
Laptop,Samsung,8A220A4C,Although listen year door girl laugh.,194106,12-05-2024,03-07-2024,9,Susan Davis,East Savannahburgh,South,Ryzen 3,Ryzen 3,12GB,512GB,512GB
Mobile Phone,Asus,3E86ADAE,Important send situation teach than magazine item must social machine.,39799,10-11-2023,12-11-2023,1,Kyle Schroeder,Port Michaelmouth,North,N/A,Samsung Exynos,32GB,256GB,N/A
Mobile Phone,OnePlus,F63D6019,Event treat late home me forget air with.,142228,20-04-2024,07-06-2024,9,Laura Banks,West Rachelland,West,N/A,Snapdragon 7 Gen,12GB,128GB,N/A
Mobile Phone,Microsoft,4A7E5519,Ability environmental direction vote few which along.,39615,07-02-2024,24-02-2024,6,Lisa Hickman,New Ericborough,West,N/A,Apple A-Series,12GB,128GB,N/A
Mobile Phone,Realme,4E68945F,Event option trial difficult on man challenge.,25065,23-03-2024,03-04-2024,10,John Gonzales,East Wendy,West,N/A,Apple A-Series,16GB,64GB,N/A
Laptop,Lenovo,0A4241B2,Hold together day that population successful response.,69325,27-07-2023,24-09-2023,3,Richard Tucker,West Clairefurt,South,Ryzen 5,Ryzen 5,4GB,128GB,256GB
Mobile Phone,Acer,DF287443,Office assume short remember continue candidate traditional employee pick current think ok family.,82842,01-11-2024,31-12-2024,1,Amanda Mullen,Douglasfurt,Central,N/A,Snapdragon 7s,16GB,1TB,N/A
Laptop,Lenovo,42080044,Sign star cup TV however imagine actually draw check grow less.,154894,04-03-2025,18-03-2025,2,Misty Barajas,Russellmouth,South,i3,i3,6GB,128GB,1TB
Laptop,Oppo,6FD7EA42,Life rate about something bit population certain.,187509,19-05-2023,31-05-2023,7,Charles Ramos,Lake Julie,East,Ryzen 3,Ryzen 3,16GB,64GB,2TB
Mobile Phone,iQOO,FB35A2C6,Describe push argue poor window son agreement garden power.,56880,05-01-2024,26-02-2024,6,Stefanie Meyers,Johnathanport,South,N/A,Snapdragon 7 Gen,32GB,128GB,N/A
Mobile Phone,iQOO,9C538D5F,Serve try baby and nature break choose last term both center.,113333,13-11-2023,16-11-2023,10,Tanya Cortez,Olivershire,Central,N/A,MediaTek Helio,12GB,1TB,N/A
Laptop,Motorola,6360FF1A,Far moment throw might prove family.,133359,11-11-2023,03-01-2024,10,Lindsay Taylor,East Robin,South,i5,i5,16GB,1TB,512GB
Mobile Phone,Samsung,A3B912CE,Southern close suddenly add radio always strategy.,199742,21-03-2024,17-04-2024,9,Mike Howell,Joshuatown,North,N/A,Apple A-Series,4GB,128GB,N/A
Laptop,HP,DBDE714A,Character field toward foreign movement specific now movement whole throw gas commercial relationship.,111144,04-06-2024,19-06-2024,6,Joshua Thomas,West Craigburgh,South,Ryzen 3,Ryzen 3,6GB,128GB,2TB
Mobile Phone,Huawei,56FAE266,Catch everything tend when against most law material write common member behind direction military.,151511,01-08-2024,08-08-2024,6,Sara Lopez,Lake Jimfurt,West,N/A,MediaTek Helio,16GB,64GB,N/A
Mobile Phone,Sony,3E0E4644,Wrong finish despite set woman state with stop expect almost another production.,37308,09-08-2024,08-09-2024,1,Justin Sanchez,North Ross,East,N/A,Snapdragon 7s,16GB,512GB,N/A
Mobile Phone,Google,104C0BDF,Well at rate firm investment election.,159008,12-04-2024,14-04-2024,7,Lauren Willis,Gonzalezmouth,South,N/A,Samsung Exynos,32GB,64GB,N/A
Laptop,Oppo,D1D8572B,Front what seem scene write field writer dark.,20393,02-06-2024,04-06-2024,9,Allison Lewis,Wattston,South,i9,i9,32GB,1TB,512GB
Mobile Phone,Lenovo,46D8CC00,Do exactly first camera land city during history lot message.,137651,20-07-2024,17-08-2024,4,Nicholas Washington,North Patricia,Central,N/A,MediaTek Helio,16GB,1TB,N/A
Mobile Phone,Realme,0180F9C2,Few possible weight result radio food partner good.,187693,26-09-2024,19-10-2024,5,Pamela Smith,West Michaelchester,West,N/A,Snapdragon 7s,4GB,1TB,N/A
Mobile Phone,Vivo,3CDDBA34,Happen best position international none notice old catch thank raise.,22174,19-11-2024,09-12-2024,6,Jose Rodriguez,Crystalville,East,N/A,MediaTek Dimensity,16GB,64GB,N/A
Laptop,Toshiba,F7A819C9,Wife south scientist moment south song federal home upon draw dream determine.,89950,20-07-2023,25-07-2023,1,William Houston,South Seanside,West,Ryzen 3,Ryzen 3,4GB,64GB,1TB
Mobile Phone,HP,16C1085C,Support medical perform expert issue camera bit card south decision throughout stock.,46123,27-04-2023,13-06-2023,10,Angela George,Barbaratown,South,N/A,MediaTek Helio,12GB,128GB,N/A
Mobile Phone,Vivo,9DBB3A54,List board much beautiful late bring brother someone general.,179739,12-06-2023,27-06-2023,7,Sarah Rodriguez,West Katiemouth,North,N/A,Snapdragon 7 Gen,32GB,512GB,N/A
Laptop,iQOO,3C699E24,Prepare hand charge wind trade popular action away tax.,80516,21-04-2023,01-06-2023,9,John Berry,South Jay,South,i7,i7,32GB,1TB,2TB
Laptop,Dell,CCA3C7D9,Statement strategy near television decade meet federal cover argue act painting address whole.,10267,20-04-2023,26-04-2023,9,Brian Stein,Hoganshire,South,i3,i3,6GB,64GB,2TB
Laptop,Microsoft,CF4EA5A5,Onto foreign relationship imagine month hold happy too difficult move huge.,196105,17-08-2023,06-10-2023,3,Lisa Martinez,Pamelashire,Central,i7,i7,32GB,256GB,512GB
Laptop,Nokia,02D7148D,Ready particularly wonder later not near per mention.,127541,30-03-2023,28-04-2023,6,Thomas Molina,Joseside,South,Ryzen 9,Ryzen 9,4GB,128GB,1TB
Laptop,iQOO,B868337F,Lay senior nice father face process professor including dream.,110687,21-06-2023,09-07-2023,1,Bryan Jimenez,West Micheal,Central,i7,i7,6GB,1TB,256GB
Mobile Phone,Asus,1C631935,Method attention fine nearly financial up air everybody thank fast start happy.,99964,05-08-2024,03-09-2024,8,Pamela Hebert,Sharonmouth,North,N/A,Snapdragon 7 Gen,8GB,64GB,N/A
Mobile Phone,HP,FC4CD690,Response modern interest note chair stock step clearly activity use wrong amount daughter.,109544,06-12-2024,23-12-2024,10,Tina Orr,Hawkinsville,East,N/A,MediaTek Helio,8GB,256GB,N/A
Laptop,Nokia,A388E11C,Him consider line newspaper painting system produce actually agency hour wish and.,198821,09-12-2023,07-01-2024,10,Ronald Perez,East Julie,South,Ryzen 3,Ryzen 3,8GB,256GB,1TB
Laptop,Acer,C1F6E2C2,I situation deep region course hour soldier available response important growth.,160770,12-02-2024,24-03-2024,7,Curtis Buchanan,Haleystad,West,Ryzen 9,Ryzen 9,12GB,512GB,2TB
Mobile Phone,Microsoft,1008FC60,Enter authority friend certain family school son major mission message take look be.,157629,07-02-2024,19-02-2024,3,Connie Gomez,Stephaniefurt,Central,N/A,Snapdragon 8 Gen,12GB,128GB,N/A
Mobile Phone,Huawei,B33DCAE9,Pay police side business wide they ready little enough if eat them.,166331,22-06-2024,09-07-2024,1,Amanda Medina,Lake Sherry,North,N/A,Apple A-Series,6GB,1TB,N/A
Laptop,Oppo,EB6BD893,Just their carry threat hard ground learn whatever hand often.,109717,24-04-2024,04-05-2024,6,Lindsay Hart,North Jamesfurt,South,Ryzen 9,Ryzen 9,8GB,64GB,512GB
Laptop,iQOO,A49626F6,Might young report summer eight race.,44731,26-04-2023,21-05-2023,4,Melissa Lindsey,East Pamela,South,i9,i9,16GB,512GB,512GB
Mobile Phone,Microsoft,AA1A2B41,Their term necessary international usually take else above from music seem stand piece.,110525,05-02-2025,24-02-2025,5,Taylor Kerr,East Christianhaven,Central,N/A,Snapdragon 7s,6GB,1TB,N/A
Mobile Phone,Huawei,915A9CDB,Once build response get morning build through from body agent.,51609,21-08-2024,07-10-2024,7,Maria Thomas,Esparzastad,North,N/A,Snapdragon 7s,4GB,256GB,N/A
Mobile Phone,Asus,11C87599,Capital what just baby red blood billion respond.,103532,21-05-2024,12-07-2024,4,Christopher Smith,Port Theresa,East,N/A,MediaTek Helio,8GB,1TB,N/A
Laptop,HP,BA08D81C,Task city hotel natural education sport among office find able inside relate.,182714,09-10-2024,10-11-2024,3,Brian Nguyen,South Amyland,Central,i5,i5,6GB,1TB,1TB
Mobile Phone,Huawei,E2C0E597,Impact how open thought eye beautiful my.,29350,12-12-2023,16-01-2024,6,Christy Russell,Ellenfort,Central,N/A,Snapdragon 7s,8GB,64GB,N/A
Laptop,Toshiba,855D5580,Human only significant work yes forget among interest figure campaign thought customer.,125090,22-11-2023,11-12-2023,3,Kathryn Wagner,South Kenneth,North,i9,i9,32GB,64GB,256GB
Mobile Phone,Huawei,1E12C715,Writer computer amount seek little natural such century where by level.,61295,15-04-2024,28-04-2024,3,Jason Harris,Steinhaven,South,N/A,MediaTek Helio,6GB,256GB,N/A
Laptop,Nokia,10BB79C1,Floor song red ready bring describe these present week by shoulder hope.,103245,30-06-2024,08-07-2024,5,Jonathon Ford,North Crystalfort,South,i5,i5,32GB,512GB,512GB
Laptop,Nokia,4A71BB19,Yard their chair event watch charge choose piece high speech.,33587,19-03-2024,23-03-2024,10,Jennifer Spence,Kevinville,East,i5,i5,12GB,512GB,512GB
Mobile Phone,Sony,35E9ED54,Southern do value chance clearly study sell show.,12165,01-02-2025,07-03-2025,5,Jason Howell,Knightborough,North,N/A,MediaTek Helio,12GB,512GB,N/A
Laptop,Realme,45B7D610,Through strategy administration car outside professor market who travel country father trouble edge.,40509,17-05-2023,11-06-2023,5,Zachary Rogers,South Marktown,South,Ryzen 3,Ryzen 3,4GB,1TB,2TB
Mobile Phone,Acer,4316FE8B,Future respond peace discussion friend rather capital draw prepare none right.,198713,13-01-2024,04-02-2024,10,Karen Gray,Lake Martin,East,N/A,Snapdragon 8 Gen,4GB,1TB,N/A
Laptop,Dell,67FA73DF,Phone despite energy marriage weight build central.,13740,14-03-2024,23-04-2024,6,Vanessa Williams,Stevensland,East,i9,i9,4GB,256GB,256GB
Mobile Phone,Vivo,962AE302,Treat move apply good writer understand should thing card with tend guy camera.,85262,02-09-2024,18-09-2024,1,Jamie Dennis,East Tracy,South,N/A,Snapdragon 7s,32GB,512GB,N/A
Laptop,Apple,8925C72F,Item fact continue base building book police.,73250,24-02-2024,14-04-2024,7,Kyle Contreras,North John,South,i9,i9,8GB,64GB,2TB
Mobile Phone,Huawei,AF0205B5,End article face citizen anything hospital energy recently way throughout more way read.,141917,09-03-2024,21-04-2024,5,Kayla Smith,New Brandontown,South,N/A,Snapdragon 7s,32GB,64GB,N/A
Mobile Phone,Redmi,1A8A339E,Cut deal apply word price nor soldier view become.,183460,13-05-2024,22-06-2024,7,Vincent Murray,Lake Jeremiah,East,N/A,MediaTek Helio,8GB,128GB,N/A
Mobile Phone,Toshiba,EA7EBD30,Brother shoulder left maybe on provide.,117892,26-06-2023,05-07-2023,7,Jamie Pena,Whiteberg,West,N/A,Snapdragon 7s,6GB,256GB,N/A
Laptop,OnePlus,CCE59B01,Not both community agent particularly public mention already beautiful career break level.,12608,28-01-2024,28-03-2024,2,Brendan Vega,Vanessaton,North,i3,i3,12GB,256GB,512GB
Laptop,Toshiba,D715F3FB,Former whatever prevent win your their machine child maintain question new interview.,149812,09-12-2024,25-01-2025,6,Tyler Taylor,New Chad,North,Ryzen 5,Ryzen 5,16GB,64GB,256GB
Mobile Phone,Oppo,7345707D,Hear economy just nearly adult then south investment.,64608,16-09-2023,14-11-2023,5,Peter Webb,Angelafurt,West,N/A,Samsung Exynos,8GB,256GB,N/A
Laptop,Asus,E832038D,Without answer pick finally budget fund only focus model event.,63310,29-12-2023,22-02-2024,1,Philip Richardson,Sarahmouth,Central,i3,i3,32GB,1TB,1TB
Mobile Phone,Realme,56E6C45C,Water have very former station message mention century.,127568,14-04-2023,26-05-2023,8,Kathy Miller,South Sean,East,N/A,MediaTek Dimensity,4GB,512GB,N/A
Mobile Phone,Apple,AEA634AB,On special type will newspaper weight leave always example prepare.,108008,01-04-2024,02-05-2024,2,Jesse Allen,Ryanhaven,Central,N/A,Snapdragon 8 Gen,4GB,512GB,N/A
Mobile Phone,Redmi,93D3BAD5,Able price part doctor long first seven letter close need clearly rich.,156383,01-01-2025,03-02-2025,1,Susan Carrillo,Port Haley,Central,N/A,Snapdragon 8 Gen,6GB,128GB,N/A
Mobile Phone,Realme,852CF97B,Themselves drive past body these east including leg great wish stage.,48119,15-04-2024,19-04-2024,5,Julie Moore,New Gabriel,East,N/A,Apple A-Series,8GB,128GB,N/A
Laptop,HP,11DFD9B7,Boy sea compare place before charge partner word beyond paper fall.,190375,13-05-2024,05-07-2024,7,Elizabeth Shaw,New Madison,East,i3,i3,16GB,512GB,1TB
Mobile Phone,Nokia,9E75F7FF,Ball adult customer relate him page magazine respond want professor prevent student.,65409,27-03-2023,03-05-2023,6,Jason Santos,East Krista,Central,N/A,Snapdragon 7s,6GB,128GB,N/A
Laptop,Google,03635F51,Memory under although teach thought card cell home report onto decade.,38605,26-08-2023,22-09-2023,1,Donna Andrews,Johnburgh,West,Ryzen 3,Ryzen 3,6GB,512GB,1TB
Laptop,iQOO,C42083A1,Production fine very baby like must color.,37784,24-09-2024,31-10-2024,7,Lisa Smith,Christopherhaven,South,i3,i3,12GB,64GB,256GB
Mobile Phone,Nokia,AC652879,Mission process still base final development billion board.,124803,02-10-2023,23-11-2023,8,Kyle Crawford,Port Heather,Central,N/A,Apple A-Series,4GB,64GB,N/A
Mobile Phone,Samsung,E1E4EB40,Human measure animal continue true role point outside your all follow minute instead.,86184,18-04-2024,01-06-2024,2,Matthew Roberts,East Tyler,Central,N/A,Samsung Exynos,8GB,256GB,N/A
Mobile Phone,HP,838A9F7E,Beat shake out education seem think.,154486,26-01-2024,03-02-2024,10,Jennifer Hill,Robertoview,Central,N/A,MediaTek Helio,12GB,128GB,N/A
Mobile Phone,Apple,48013755,Garden save organization perhaps include determine.,104272,20-02-2024,18-04-2024,10,Carol Martinez,Dawnmouth,North,N/A,Snapdragon 7 Gen,6GB,256GB,N/A
Laptop,Apple,8F6FE711,Defense various investment effort like individual let around mouth best see shoulder claim.,116168,24-04-2023,14-06-2023,8,Paula Thompson,North Brandon,South,i7,i7,32GB,256GB,2TB
Mobile Phone,Nokia,8C9BA5BC,Social turn discussion service education among stop south significant in watch analysis different.,151619,03-05-2024,20-06-2024,8,Theresa Pierce,Port Timothy,East,N/A,Snapdragon 7 Gen,6GB,512GB,N/A
Mobile Phone,Huawei,A15E97C9,Movement design ago certainly listen all true agent federal in quality physical use.,166463,03-06-2024,30-06-2024,8,Richard Ryan,Kevinfort,East,N/A,Apple A-Series,12GB,64GB,N/A
Mobile Phone,Samsung,03FE6EF9,Stock tree point small herself however certainly year personal.,33408,25-07-2023,03-08-2023,3,Jordan Mack,Richardtown,North,N/A,Samsung Exynos,4GB,256GB,N/A
Mobile Phone,Realme,307B2F2F,City artist live establish no close just check blood.,87672,29-12-2023,30-01-2024,8,Jay Lambert,Bryanhaven,Central,N/A,Apple A-Series,4GB,128GB,N/A
Laptop,iQOO,C0830847,Six school among chance method quite what computer activity man positive our.,191041,13-05-2024,21-05-2024,6,Angela Phillips,West Arielhaven,South,Ryzen 9,Ryzen 9,8GB,512GB,256GB
Laptop,Lenovo,1397764C,Room alone we person level cold matter citizen.,147678,01-06-2024,15-07-2024,7,Marc Morales DDS,New Isaac,South,i7,i7,6GB,512GB,2TB
Mobile Phone,Apple,9E7D1E6F,Good why myself raise be very line Democrat brother natural senior drive somebody.,42216,26-01-2024,17-03-2024,7,Nicole Kelley,Lisafurt,North,N/A,Apple A-Series,12GB,128GB,N/A
Mobile Phone,Acer,331F935C,Bit quickly half score me while because.,9964,31-10-2023,01-12-2023,10,Jasmin Morrison,North Teresa,West,N/A,MediaTek Helio,4GB,512GB,N/A
Mobile Phone,Acer,3A299E74,Animal professional size above friend political fact seat weight high environment deal.,33063,30-10-2023,10-12-2023,9,Maria Chavez,Careyborough,West,N/A,Snapdragon 8 Gen,4GB,512GB,N/A
Laptop,Samsung,681CD76A,Bad win later make able school memory.,141830,28-02-2024,22-04-2024,8,Elizabeth Davis,New Krystalfort,West,i9,i9,12GB,1TB,512GB
Mobile Phone,Acer,C85EA0CD,Mr design answer consider exactly opportunity usually.,72128,29-10-2023,30-10-2023,10,Scott Liu,Stevefort,North,N/A,Apple A-Series,12GB,128GB,N/A
Mobile Phone,Toshiba,6D71BC0A,From training decade catch town clear personal sport focus around.,152745,31-01-2024,03-02-2024,9,Curtis Jones,West William,Central,N/A,Samsung Exynos,6GB,64GB,N/A
Mobile Phone,Acer,4BA35EF3,Show energy TV tend great follow yes always reduce popular ball bed next.,130075,05-06-2023,18-07-2023,2,Shannon Lewis,Hollowayfurt,West,N/A,Apple A-Series,32GB,128GB,N/A
Laptop,Apple,0C4DA646,Skin assume poor sometimes there realize respond.,76513,13-06-2023,25-06-2023,4,Elizabeth Martinez,East Paulville,West,Ryzen 3,Ryzen 3,12GB,512GB,2TB
Laptop,OnePlus,38005B28,Manage arm keep look good sense reach great like old late foreign ago.,29606,31-07-2024,09-09-2024,3,David Lopez,Jenniferland,East,i7,i7,16GB,1TB,1TB
Mobile Phone,Asus,5F4FA6DC,Later detail term media build very.,199999,25-01-2024,16-02-2024,1,Courtney Morgan DDS,Tranland,West,N/A,Samsung Exynos,8GB,256GB,N/A
Mobile Phone,Google,C8B7A11C,Model ground strong when past yard evidence many risk since.,98541,31-08-2023,27-10-2023,8,Alex Fletcher,Lovehaven,West,N/A,MediaTek Helio,6GB,128GB,N/A
Laptop,Motorola,988095CA,Often bed attorney financial authority race behind design recent clear condition natural heart.,147878,28-03-2024,26-05-2024,10,Olivia Tanner,Williamport,North,Ryzen 7,Ryzen 7,32GB,256GB,256GB
Mobile Phone,Vivo,28C4A791,Evidence past most data here piece.,166145,07-09-2023,04-10-2023,6,Jeanne Davis,Sanchezland,South,N/A,Snapdragon 7 Gen,12GB,64GB,N/A
Laptop,Oppo,8FDC62E2,You prove entire talk thing week cell book.,32230,07-08-2024,20-08-2024,4,Michael Hughes,Samanthaberg,South,Ryzen 3,Ryzen 3,32GB,256GB,256GB
Mobile Phone,Oppo,0FAE653F,Issue hit nearly into purpose sure red.,167796,28-07-2023,11-08-2023,4,Rodney Rodriguez,Hansonberg,North,N/A,MediaTek Dimensity,16GB,512GB,N/A
Mobile Phone,Sony,534BBB9B,Image decision focus pass which wish.,48001,24-07-2023,15-08-2023,9,John Beck,New Katherinebury,West,N/A,Samsung Exynos,6GB,256GB,N/A
Mobile Phone,Toshiba,47E58346,Different certain admit than individual activity growth.,34798,20-04-2024,15-06-2024,2,Erica Heath,Lake Jeffreystad,South,N/A,Snapdragon 7s,12GB,64GB,N/A
Laptop,Dell,06E26FD1,Deep gas just dark during American let almost indicate major enter final great.,192349,22-02-2025,07-03-2025,4,Mrs. Angela Barnes,Hudsonchester,Central,Ryzen 3,Ryzen 3,6GB,256GB,1TB
Mobile Phone,Acer,C1A7B0D2,Condition some key six arrive prepare nothing happy American great.,46962,18-08-2023,13-09-2023,8,Barbara Howe,North David,West,N/A,MediaTek Helio,32GB,256GB,N/A
Mobile Phone,Acer,9F262496,Space perhaps oil cover throughout result summer enjoy year hit from.,46309,28-04-2024,30-05-2024,10,Ryan Schmidt,North Edward,West,N/A,Snapdragon 7s,32GB,128GB,N/A
Mobile Phone,Nokia,640BF763,Per paper despite forward else ask law call floor.,56045,25-01-2024,07-03-2024,9,Donald Gutierrez,Rodrigueztown,East,N/A,Snapdragon 8 Gen,12GB,512GB,N/A
Mobile Phone,Google,B1CC63F1,Song remember early eight more fly.,32712,28-05-2023,13-06-2023,5,Jordan Haynes,New Steven,South,N/A,Samsung Exynos,6GB,256GB,N/A
Mobile Phone,Microsoft,13374122,Difference tree concern indeed stock politics human animal law year authority other born.,32821,25-04-2024,13-05-2024,2,Autumn King,Andersonville,North,N/A,Snapdragon 8 Gen,4GB,1TB,N/A
Mobile Phone,HP,8FF7A3E6,House baby card agency now turn measure film quite real.,139694,29-08-2024,15-10-2024,1,Michael Anthony,Grayton,North,N/A,Snapdragon 8 Gen,4GB,64GB,N/A
Mobile Phone,Oppo,2382E5EA,Rule anyone five president color within note born wide provide night.,195308,20-07-2023,22-08-2023,5,Makayla Nielsen,West Brian,North,N/A,Snapdragon 8 Gen,8GB,64GB,N/A
Laptop,Sony,965FD993,Dark lay wife suddenly degree result respond.,162493,13-08-2023,02-09-2023,3,Brent Jones III,West Margaretshire,South,i5,i5,12GB,512GB,1TB
Mobile Phone,Oppo,928A480E,Outside attack often wall list few personal main edge area skin hope more.,186738,16-03-2024,29-04-2024,2,Anita Cortez,West Zachary,North,N/A,Snapdragon 7 Gen,32GB,64GB,N/A
Mobile Phone,Samsung,7A23268C,Weight until bill huge discussion east.,81666,25-11-2023,18-12-2023,9,Terry Crawford,Lake Elizabeth,West,N/A,MediaTek Dimensity,6GB,256GB,N/A
Laptop,Vivo,B51B003B,Discover left still onto young father western turn check eat.,35469,22-05-2024,17-06-2024,9,Erin Mack,Morrisburgh,East,i5,i5,8GB,256GB,2TB
Mobile Phone,HP,EB81FBA9,Style generation necessary too cover happy listen through economy.,113891,27-11-2023,20-01-2024,3,Beth Torres,New Aaron,South,N/A,MediaTek Dimensity,8GB,512GB,N/A
Mobile Phone,Samsung,9CEB1391,Article nearly station leave community throw image research American personal worry indicate.,134297,11-09-2024,12-09-2024,3,Lynn Lawson,New Joshua,Central,N/A,MediaTek Dimensity,12GB,128GB,N/A
Laptop,HP,947EE6DB,Body go amount yeah enough cover political even seat.,78515,18-08-2024,11-10-2024,7,Riley Moody,Richardsonchester,Central,Ryzen 9,Ryzen 9,32GB,256GB,512GB
Laptop,Motorola,6F6D435C,Third defense least mother certainly perform former great.,111160,07-10-2024,28-10-2024,6,Kathleen Williams,Meyerton,Central,i9,i9,6GB,128GB,512GB
Laptop,iQOO,CCD9FADC,Special involve everyone sign take cover site.,82578,17-01-2025,13-03-2025,4,Austin Cabrera,Silvaview,North,i5,i5,32GB,512GB,1TB
Laptop,Samsung,57166E4C,Behavior market owner leader put miss because performance night city degree.,169086,29-08-2023,08-10-2023,5,Julia Miller,West Annettemouth,Central,i7,i7,12GB,1TB,1TB
Laptop,Samsung,B9858C19,Interesting chair least prepare standard doctor contain.,152852,10-02-2025,10-03-2025,3,Paul Rogers,Jameshaven,West,Ryzen 3,Ryzen 3,4GB,1TB,1TB
Mobile Phone,Dell,16450A11,Light city impact finally there author according upon right.,156162,18-12-2023,21-12-2023,7,Jordan Key,North Cheryl,North,N/A,Apple A-Series,32GB,256GB,N/A
Laptop,Oppo,A2B8DD22,Rich find our ten front military exactly point firm prevent coach building.,102538,08-10-2024,02-11-2024,7,Jennifer Myers,Lewisbury,South,i3,i3,16GB,512GB,2TB
Mobile Phone,Lenovo,AECBF0A0,Gun law wind physical that about may Democrat share.,77824,04-08-2024,25-08-2024,2,Elizabeth Perez,Walshbury,West,N/A,Snapdragon 7 Gen,4GB,1TB,N/A
Laptop,HP,6F3AA604,Compare instead whether recent entire bring audience scientist number hundred.,164790,11-09-2023,05-10-2023,9,Bobby Wagner,Harveyborough,Central,i5,i5,8GB,256GB,512GB
Laptop,Sony,A21E879F,Democratic suggest itself plan subject site reveal possible.,145114,17-06-2023,14-08-2023,10,David Osborne,Powellburgh,South,i5,i5,4GB,1TB,512GB
Laptop,OnePlus,98C6B6F6,Book health detail group business still indeed.,45085,15-07-2024,21-07-2024,9,John Cook,Lake Williamchester,Central,i9,i9,32GB,64GB,256GB
Laptop,HP,F2B6B4D5,Father seek possible protect some machine party wind place economy where indeed.,90762,08-09-2023,15-10-2023,7,Joseph Garcia,North Amy,East,Ryzen 3,Ryzen 3,32GB,1TB,2TB
Mobile Phone,Realme,96B2CB3F,Fear use staff able worry call difference perhaps show cut tell mean.,60293,20-01-2024,24-02-2024,9,Sarah Kane,Larsontown,North,N/A,Samsung Exynos,8GB,1TB,N/A
Laptop,Google,DAA9CAB9,Situation professor some authority south growth town region peace site.,65629,21-09-2024,13-10-2024,4,Kim Butler,Katherineburgh,North,Ryzen 9,Ryzen 9,6GB,64GB,1TB
Laptop,Oppo,2BDA8B0F,Performance technology brother economic enough public her task none skill east.,199091,04-12-2023,31-12-2023,9,John Wagner,East Philip,North,i7,i7,6GB,512GB,512GB
Mobile Phone,Vivo,786AC853,Impact chair tax citizen certain need office since citizen wonder.,171169,13-02-2025,03-04-2025,3,Jonathan Williams,Kellyport,South,N/A,Samsung Exynos,32GB,64GB,N/A
Mobile Phone,Oppo,6F5EC44C,Lose yet safe often school west walk.,50539,16-03-2024,05-04-2024,7,John Anderson,Adamsport,East,N/A,MediaTek Helio,16GB,256GB,N/A
Laptop,Google,2CB50DD8,Hit offer series near tree half treat statement to inside author difficult her.,115712,01-01-2024,01-02-2024,6,Rebecca Lopez,South Courtney,North,i5,i5,16GB,128GB,1TB
Mobile Phone,Sony,FB3283FE,Themselves modern election former environmental official number teach blue have.,182501,09-07-2024,15-07-2024,1,Joseph Collins,Leefurt,South,N/A,Snapdragon 8 Gen,12GB,256GB,N/A
Mobile Phone,Huawei,5E3646E2,Doctor any Mr chance bank bring.,128281,16-07-2023,27-07-2023,1,Jose Fitzgerald MD,Justinmouth,West,N/A,MediaTek Dimensity,16GB,128GB,N/A
Mobile Phone,Oppo,B6718376,Thought major people present foot debate subject plan notice.,94949,12-04-2024,25-04-2024,9,Christopher Taylor,North Kenneth,East,N/A,Snapdragon 7 Gen,16GB,256GB,N/A
Laptop,HP,DFFED3D7,Increase Mr lawyer seat director doctor father pressure night able authority.,94214,25-06-2024,02-07-2024,10,Julia Thornton,New Jennahaven,North,i9,i9,32GB,64GB,2TB
